# Incident Angle Wavelength  Reflectance 
  74.2499372837 500.0000000000  1.0000000000 
  74.4999370725 500.0000000000  1.0000000000 
  74.7499368614 500.0000000000  1.0000000000 
  74.9999366502 500.0000000000  1.0000000000 
  75.2499364390 500.0000000000  1.0000000000 
  75.4999362279 500.0000000000  1.0000000000 
  75.7499360167 500.0000000000  1.0000000000 
  75.9999358055 500.0000000000  1.0000000000 
  76.2499355944 500.0000000000  1.0000000000 
  76.4999353832 500.0000000000  1.0000000000 
  76.7499351720 500.0000000000  1.0000000000 
  76.9999349609 500.0000000000  1.0000000000 
  77.2499347497 500.0000000000  1.0000000000 
  77.4999345385 500.0000000000  1.0000000000 
  77.7499343274 500.0000000000  1.0000000000 
  77.9999341162 500.0000000000  1.0000000000 
  78.2499339050 500.0000000000  1.0000000000 
  78.4999336939 500.0000000000  1.0000000000 
  78.7499334827 500.0000000000  1.0000000000 
  78.9999332715 500.0000000000  1.0000000000 
  79.2499330604 500.0000000000  1.0000000000 
  79.4999328492 500.0000000000  1.0000000000 
  79.7499326381 500.0000000000  1.0000000000 
  79.9999324269 500.0000000000  1.0000000000 
  80.2499322157 500.0000000000  1.0000000000 
  80.4999320046 500.0000000000  1.0000000000 
  80.7499317934 500.0000000000  1.0000000000 
  80.9999315822 500.0000000000  1.0000000000 
  81.2499313711 500.0000000000  1.0000000000 
  81.4999311599 500.0000000000  1.0000000000 
  81.7499309487 500.0000000000  1.0000000000 
  81.9999307376 500.0000000000  1.0000000000 
  82.2499305264 500.0000000000  1.0000000000 
  82.4999303152 500.0000000000  1.0000000000 
  82.7499301041 500.0000000000  1.0000000000 
  82.9999298929 500.0000000000  1.0000000000 
  83.2499296817 500.0000000000  1.0000000000 
  83.4999294706 500.0000000000  1.0000000000 
  83.7499292594 500.0000000000  1.0000000000 
  83.9999290482 500.0000000000  1.0000000000 
  84.2499288371 500.0000000000  1.0000000000 
  84.4999286259 500.0000000000  1.0000000000 
  84.7499284147 500.0000000000  1.0000000000 
  84.9999282036 500.0000000000  1.0000000000 
  85.2499279924 500.0000000000  1.0000000000 
  85.4999277812 500.0000000000  1.0000000000 
  85.7499275701 500.0000000000  1.0000000000 
  85.9999273589 500.0000000000  1.0000000000 
  86.2499271477 500.0000000000  1.0000000000 
  86.4999269366 500.0000000000  1.0000000000 
  86.7499267254 500.0000000000  1.0000000000 
  86.9999265142 500.0000000000  1.0000000000 
  87.2499263031 500.0000000000  1.0000000000 
  87.4999260919 500.0000000000  1.0000000000 
  87.7499258807 500.0000000000  1.0000000000 
  87.9999256696 500.0000000000  1.0000000000 
  88.2499254584 500.0000000000  1.0000000000 
  88.4999252472 500.0000000000  1.0000000000 
  88.7499250361 500.0000000000  1.0000000000 
  88.9999248249 500.0000000000  1.0000000000 
  89.2499246137 500.0000000000  1.0000000000 
  89.4999244026 500.0000000000  1.0000000000 
  89.7499241914 500.0000000000  1.0000000000 
