# Using Bulk W data set with air above and below
# Thickness of W layer is 10 nm (0.01 microns)
# Incident Angle is 45 deg
# Wavelengths span the entire data set of W date: 400 nm - 6000 nm

# Angle (deg)   Wavelength (nm)  Reflectance  Transmission
  45.0000000000 3961.3700000000  0.0626515685 0.5646649922
  45.0000000000 3952.2300000000  0.0627110373 0.5645007145
  45.0000000000 3943.1400000000  0.0627706012 0.5643362494
  45.0000000000 3934.0900000000  0.0628303225 0.5641714256
  45.0000000000 3925.0800000000  0.0628901987 0.5640062508
  45.0000000000 3916.1100000000  0.0629502273 0.5638407331
  45.0000000000 3907.1800000000  0.0630104055 0.5636748805
  45.0000000000 3898.2900000000  0.0630707308 0.5635087008
  45.0000000000 3889.4500000000  0.0631311318 0.5633423910
  45.0000000000 3880.6400000000  0.0631917427 0.5631755830
  45.0000000000 3871.8700000000  0.0632524925 0.5630084725
  45.0000000000 3863.1500000000  0.0633133085 0.5628412601
  45.0000000000 3854.4600000000  0.0633743274 0.5626735706
  45.0000000000 3845.8100000000  0.0634354770 0.5625056036
  45.0000000000 3837.2000000000  0.0634967543 0.5623373675
  45.0000000000 3828.6300000000  0.0635581566 0.5621688708
  45.0000000000 3820.0900000000  0.0636197533 0.5619999235
  45.0000000000 3811.6000000000  0.0636813972 0.5618309301
  45.0000000000 3803.1400000000  0.0637432307 0.5616615009
  45.0000000000 3794.7200000000  0.0638051783 0.5614918431
  45.0000000000 3786.3300000000  0.0638673115 0.5613217623
  45.0000000000 3777.9900000000  0.0639294790 0.5611516726
  45.0000000000 3769.6800000000  0.0639918270 0.5609811750
  45.0000000000 3761.4000000000  0.0640543538 0.5608102748
  45.0000000000 3753.1700000000  0.0641169052 0.5606393938
  45.0000000000 3744.9700000000  0.0641796303 0.5604681256
  45.0000000000 3736.8000000000  0.0642425272 0.5602964757
  45.0000000000 3728.6700000000  0.0643055166 0.5601246616
  45.0000000000 3720.5800000000  0.0643685953 0.5599526922
  45.0000000000 3712.5200000000  0.0644318388 0.5597803625
  45.0000000000 3704.4900000000  0.0644952453 0.5596076781
  45.0000000000 3696.5000000000  0.0645587334 0.5594348614
  45.0000000000 3688.5500000000  0.0646222996 0.5592619219
  45.0000000000 3680.6300000000  0.0646860215 0.5590886495
  45.0000000000 3672.7400000000  0.0647498972 0.5589150501
  45.0000000000 3664.8800000000  0.0648139247 0.5587411294
  45.0000000000 3657.0600000000  0.0648780200 0.5585671164
  45.0000000000 3649.2800000000  0.0649421797 0.5583930208
  45.0000000000 3641.5200000000  0.0650065668 0.5582184009
  45.0000000000 3633.8000000000  0.0650710133 0.5580437128
  45.0000000000 3626.1100000000  0.0651356001 0.5578687380
  45.0000000000 3618.4600000000  0.0652002403 0.5576937121
  45.0000000000 3610.8400000000  0.0652650156 0.5575184143
  45.0000000000 3603.2400000000  0.0653300099 0.5573426187
  45.0000000000 3595.6800000000  0.0653950500 0.5571667942
  45.0000000000 3588.1600000000  0.0654601322 0.5569909507
  45.0000000000 3580.6600000000  0.0655254276 0.5568146270
  45.0000000000 3573.1900000000  0.0655908478 0.5566380624
  45.0000000000 3565.7600000000  0.0656563023 0.5564615017
  45.0000000000 3558.3600000000  0.0657218761 0.5562847155
  45.0000000000 3550.9800000000  0.0657876566 0.5561074694
  45.0000000000 3543.6400000000  0.0658534632 0.5559302503
  45.0000000000 3536.3300000000  0.0659193826 0.5557528251
  45.0000000000 3529.0500000000  0.0659854125 0.5555752003
  45.0000000000 3521.8000000000  0.0660515507 0.5553973827
  45.0000000000 3514.5700000000  0.0661178869 0.5552191316
  45.0000000000 3507.3800000000  0.0661842353 0.5550409468
  45.0000000000 3500.2200000000  0.0662506850 0.5548625892
  45.0000000000 3493.0800000000  0.0663173273 0.5546838144
  45.0000000000 3485.9800000000  0.0663839732 0.5545051301
  45.0000000000 3478.9000000000  0.0664508079 0.5543260397
  45.0000000000 3471.8600000000  0.0665176403 0.5541470560
  45.0000000000 3464.8400000000  0.0665846579 0.5539676775
  45.0000000000 3457.8500000000  0.0666517634 0.5537881646
  45.0000000000 3450.8800000000  0.0667190512 0.5536082657
  45.0000000000 3443.9500000000  0.0667863258 0.5534285040
  45.0000000000 3437.0400000000  0.0668537789 0.5532483676
  45.0000000000 3430.1600000000  0.0669213110 0.5530681226
  45.0000000000 3423.3100000000  0.0669889196 0.5528877760
  45.0000000000 3416.4900000000  0.0670566021 0.5527073350
  45.0000000000 3409.6900000000  0.0671244561 0.5525265403
  45.0000000000 3402.9200000000  0.0671923799 0.5523456630
  45.0000000000 3396.1800000000  0.0672603709 0.5521647105
  45.0000000000 3389.4600000000  0.0673285282 0.5519834197
  45.0000000000 3382.7700000000  0.0673967485 0.5518020656
  45.0000000000 3376.1100000000  0.0674650290 0.5516206558
  45.0000000000 3369.4700000000  0.0675334705 0.5514389232
  45.0000000000 3362.8600000000  0.0676019680 0.5512571472
  45.0000000000 3356.2700000000  0.0676706232 0.5510750581
  45.0000000000 3349.7100000000  0.0677393299 0.5508929379
  45.0000000000 3343.1800000000  0.0678080854 0.5507107942
  45.0000000000 3336.6700000000  0.0678769930 0.5505283537
  45.0000000000 3330.1900000000  0.0679459448 0.5503459022
  45.0000000000 3323.7300000000  0.0680150454 0.5501631639
  45.0000000000 3317.3000000000  0.0680841856 0.5499804275
  45.0000000000 3310.8900000000  0.0681534710 0.5497974144
  45.0000000000 3304.5000000000  0.0682229004 0.5496141285
  45.0000000000 3298.1400000000  0.0682923630 0.5494308624
  45.0000000000 3291.8100000000  0.0683618559 0.5492476240
  45.0000000000 3285.5000000000  0.0684314868 0.5490641297
  45.0000000000 3279.2100000000  0.0685012544 0.5488803834
  45.0000000000 3272.9500000000  0.0685710457 0.5486966832
  45.0000000000 3266.7100000000  0.0686409700 0.5485127415
  45.0000000000 3260.5000000000  0.0687109130 0.5483288593
  45.0000000000 3254.3100000000  0.0687809852 0.5481447464
  45.0000000000 3248.1400000000  0.0688511853 0.5479604070
  45.0000000000 3241.9900000000  0.0689215118 0.5477758450
  45.0000000000 3235.8700000000  0.0689918482 0.5475913667
  45.0000000000 3229.7800000000  0.0690621915 0.5474069803
  45.0000000000 3223.7000000000  0.0691327710 0.5472220844
  45.0000000000 3217.6500000000  0.0692033534 0.5470372915
  45.0000000000 3211.6200000000  0.0692740529 0.5468523023
  45.0000000000 3205.6100000000  0.0693448682 0.5466671211
  45.0000000000 3199.6300000000  0.0694156789 0.5464820623
  45.0000000000 3193.6600000000  0.0694867205 0.5462965114
  45.0000000000 3187.7200000000  0.0695577535 0.5461110942
  45.0000000000 3181.8100000000  0.0696287746 0.5459258192
  45.0000000000 3175.9100000000  0.0697000227 0.5457400638
  45.0000000000 3170.0400000000  0.0697712546 0.5455544621
  45.0000000000 3164.1800000000  0.0698427116 0.5453683861
  45.0000000000 3158.3500000000  0.0699141481 0.5451824754
  45.0000000000 3152.5400000000  0.0699856843 0.5449964177
  45.0000000000 3146.7500000000  0.0700573185 0.5448102174
  45.0000000000 3140.9900000000  0.0701289246 0.5446242028
  45.0000000000 3135.2400000000  0.0702007495 0.5444377325
  45.0000000000 3129.5200000000  0.0702725417 0.5442514597
  45.0000000000 3123.8100000000  0.0703445507 0.5440647378
  45.0000000000 3118.1300000000  0.0704165226 0.5438782253
  45.0000000000 3112.4700000000  0.0704885814 0.5436916007
  45.0000000000 3106.8200000000  0.0705608538 0.5435045369
  45.0000000000 3101.2000000000  0.0706330821 0.5433177008
  45.0000000000 3095.6000000000  0.0707053922 0.5431307667
  45.0000000000 3090.0200000000  0.0707777825 0.5429437394
  45.0000000000 3084.4600000000  0.0708502512 0.5427566237
  45.0000000000 3078.9200000000  0.0709227965 0.5425694244
  45.0000000000 3073.4000000000  0.0709954165 0.5423821464
  45.0000000000 3067.8900000000  0.0710682422 0.5421944532
  45.0000000000 3062.4100000000  0.0711410071 0.5420070309
