# Using Bulk W data set with air above and below
# Thickness of W layer is 10 nm (0.01 microns)
# Incident Angle is 45 deg
# Wavelengths span the entire data set of W date: 400 nm - 6000 nm

# Angle (deg)   Wavelength (nm)  Reflectance  Transmission
  45.0000000000 2496.0000000000  0.4144630384 0.3776393859
  45.0000000000 2492.3700000000  0.4135142884 0.3788312569
  45.0000000000 2488.7500000000  0.4125589971 0.3800337310
  45.0000000000 2485.1400000000  0.4115969444 0.3812465772
  45.0000000000 2481.5400000000  0.4106280873 0.3824698957
  45.0000000000 2477.9500000000  0.4097612227 0.3835298926
  45.0000000000 2474.3700000000  0.4090199166 0.3843921111
  45.0000000000 2470.8100000000  0.4082674987 0.3852650984
  45.0000000000 2467.2500000000  0.4075158909 0.3861408556
  45.0000000000 2463.7000000000  0.4067590967 0.3870234551
  45.0000000000 2460.1700000000  0.4059910603 0.3879170199
  45.0000000000 2456.6400000000  0.4052237920 0.3888134772
  45.0000000000 2453.1200000000  0.4044468471 0.3897193759
  45.0000000000 2449.6200000000  0.4036673352 0.3906315659
  45.0000000000 2446.1200000000  0.4028797158 0.3915516684
  45.0000000000 2442.6300000000  0.4020911520 0.3924764938
  45.0000000000 2439.1600000000  0.4012955366 0.3934102163
  45.0000000000 2435.6900000000  0.4004916921 0.3943520379
  45.0000000000 2432.2400000000  0.3996851886 0.3953004024
  45.0000000000 2428.7900000000  0.3988703739 0.3962569931
  45.0000000000 2425.3500000000  0.3980545323 0.3972185452
  45.0000000000 2421.9200000000  0.3972329676 0.3981872388
  45.0000000000 2418.5100000000  0.3963999941 0.3991684754
  45.0000000000 2415.1000000000  0.3955674303 0.4001527608
  45.0000000000 2411.7000000000  0.3947246749 0.4011472915
  45.0000000000 2408.3100000000  0.3938808087 0.4021470333
  45.0000000000 2404.9300000000  0.3930266630 0.4031571621
  45.0000000000 2401.5600000000  0.3921713727 0.4041726051
  45.0000000000 2398.2000000000  0.3913079299 0.4051970890
  45.0000000000 2394.8500000000  0.3904393223 0.4062296729
  45.0000000000 2391.5100000000  0.3895648916 0.4072703313
  45.0000000000 2388.1800000000  0.3886844198 0.4083187333
  45.0000000000 2384.8500000000  0.3877994922 0.4093743072
  45.0000000000 2381.5400000000  0.3869001340 0.4103282081
